lang_pair,src_num_texts,src_num_tokens,src_num_segments,tgt_num_texts,tgt_num_tokens,tgt_num_segments,tot_num_tokens
eng_Latn-fas_Arab,44158688,577456051,88558255,44158688,636941912,32850586,1214397963
eng_Latn-est_Latn,50923118,682931317,99974392,50923118,527875256,43653383,1210806573
eng_Latn-lav_Latn,41673145,622748478,77194917,41673145,578232534,41632948,1200981012
eng_Latn-srp_Latn,63966564,637963246,136602836,63966564,559111368,58229282,1197074614
eng_Latn-zho_Hani,69060021,1071457119,136819307,69060021,105153857,126298957,1176610976
ell_Grek-spa_Latn,45196493,575814492,36039505,45196493,599967446,36200910,1175781938
zho_Hani-fra_Latn,51600461,59736421,86418470,51600461,1111540941,46667499,1171277362
deu_Latn-fin_Latn,48836320,657379529,45668130,48836320,498821241,42918405,1156200770
ell_Grek-fra_Latn,44350404,546233700,35330803,44350404,580448726,34607136,1126682426
deu_Latn-slk_Latn,41485359,586031003,36556569,41485359,540279171,36084203,1126310174
zho_Hani-spa_Latn,53191206,61190521,88613189,53191206,1049744167,50714248,1110934688
bul_Cyrl-deu_Latn,43419800,546465070,38655378,43419800,547013044,40052845,1093478114
deu_Latn-nor_Latn,43631775,546176156,35831309,43631775,533211176,34541466,1079387332
fra_Latn-swe_Latn,36627081,583256414,29481595,36627081,494738392,29966493,1077994806
ces_Latn-slk_Latn,37409727,520063735,33595513,37409727,522853013,33425565,1042916748
ben_Beng-eng_Latn,62004576,503547000,77567927,62004576,535232217,121911911,1038779217
eng_Latn-heb_Hebr,55181952,574323977,114226717,55181952,460055918,47089945,1034379895
spa_Latn-ind_Latn,39863591,527261664,32800116,39863591,451966576,31925306,979228240
deu_Latn-slv_Latn,36712507,489365964,33394969,36712507,450555730,32013229,939921694
spa_Latn-pol_Latn,38803565,515572710,30441738,38803565,421764696,31122304,937337406
spa_Latn-vie_Latn,33994187,416766341,26969596,33994187,519990393,23445488,936756734
fra_Latn-pol_Latn,39224045,514658035,29890230,39224045,413854670,31438886,928512705
eng_Latn-guj_Gujr,39589950,478919010,79953065,39589950,430689957,34220203,909608967
eng_Latn-tam_Taml,50911786,489477715,102616510,50911786,386447333,46130498,875925048
bel_Cyrl-eng_Latn,44580858,395144167,38988840,44580858,474679550,91301381,869823717
eng_Latn-tel_Telu,47149303,468880051,93791432,47149303,397131149,45594222,866011200
spa_Latn-glg_Latn,32164010,439460179,24647512,32164010,414916532,24345906,854376711
spa_Latn-hun_Latn,37757013,468521831,28726645,37757013,376536968,28954714,845058799
eng_Latn-mal_Mlym,51651074,481687671,104060933,51651074,360243128,49033771,841930799
fra_Latn-hun_Latn,38710845,469457540,28107754,38710845,370160369,29241464,839617909
eng_Latn-urd_Arab,33451188,360811172,66824180,33451188,475732464,12141856,836543636
ara_Arab-deu_Latn,34908385,406787157,24345170,34908385,429637287,32266260,836424444
eng_Latn-cat_Latn,28399960,401405114,54946362,28399960,424095780,24023822,825500894
deu_Latn-tur_Latn,42926487,450304951,36982443,42926487,373938371,36785504,824243322
ara_Arab-ita_Latn,35858862,375126700,22415153,35858862,430762275,35724843,805888975
spa_Latn-swe_Latn,33993805,414978662,26198635,33993805,362754633,25539090,777733295
dan_Latn-spa_Latn,24133360,357820630,21346450,24133360,406723387,20430459,764544017
dan_Latn-fra_Latn,24285409,346199395,21207936,24285409,396849806,19813854,743049201
zho_Hani-rus_Cyrl,40408609,45540223,67967889,40408609,692304121,39171218,737844344
deu_Latn-est_Latn,29420828,407005743,27380130,29420828,326925261,26395177,733931004
fin_Latn-fra_Latn,36261715,296005700,28554867,36261715,432105886,27327852,728111586
afr_Latn-eng_Latn,39313352,358957820,29633863,39313352,367199654,78426926,726157474
eng_Latn-kor_Hang,34532241,394243258,64922911,34532241,321336479,24428734,715579737
deu_Latn-lit_Latn,25028916,383296251,22692018,25028916,326134669,23311598,709430920
spa_Latn-fin_Latn,34145602,411705498,26886443,34145602,287113354,27149505,698818852
eng_Latn-ltz_Latn,22829276,281567510,45406022,22829276,410151089,9715140,691718599
ces_Latn-spa_Latn,29895346,309924019,23816557,29895346,381317123,23439504,691241142
ces_Latn-fra_Latn,30624059,306424956,24554849,30624059,383927128,23416373,690352084
dan_Latn-swe_Latn,23104010,340471534,20479610,23104010,331022725,19647182,671494259
eng_Latn-kaz_Cyrl,35372289,379840023,70703057,35372289,286061885,29729515,665901908
deu_Latn-lav_Latn,21597239,341598738,19566561,21597239,323810195,24287219,665408933
spa_Latn-slk_Latn,22508467,368924431,18387400,22508467,296217204,18721536,665141635
eng_Latn-swa_Latn,31372355,343751829,61515513,31372355,314435300,24493655,658187129
fra_Latn-slk_Latn,22700942,365736877,17946698,22700942,290141486,18719502,655878363
eng_Latn-kan_Knda,34585785,362708880,68893248,34585785,288900331,31326905,651609211
deu_Latn-ind_Latn,27485644,333197126,22864415,27485644,317991743,22527191,651188869
eng_Latn-nob_Latn,19595653,329147091,37137302,19595653,313533305,16544763,642680396
ara_Arab-nld_Latn,32133030,300894710,18775532,32133030,337560144,31676167,638454854
ell_Grek-por_Latn,23324536,318329571,19091827,23324536,317757290,19174999,636086861
bul_Cyrl-rus_Cyrl,28131231,335618137,23820685,28131231,299872328,23166645,635490465
ces_Latn-pol_Latn,31782945,312057598,25265276,31782945,314800431,25290696,626858029
