lang_code,num_texts,num_tokens,num_segments
cnh_Latn,20923,11943099,532929
lmo_Latn,226662,11844012,733495
azb_Arab,176742,11830398,874115
nan_Latn,274259,11417508,658641
zsm_Latn,627817,11397549,662931
ctd_Latn,11472,10667611,548141
oss_Cyrl,67331,10595256,856172
ido_Latn,186821,10177571,999603
pam_Latn,223818,9879143,611373
bar_Latn,199060,9690510,698067
tat_Latn,38507,9556436,726207
nso_Latn,121497,9019902,395042
hil_Latn,10136,8952906,467987
udm_Cyrl,50740,8830614,820448
tso_Latn,87195,8665369,414709
pms_Latn,146211,8562844,454234
ewe_Latn,35246,6853826,324385
ina_Latn,136515,6582786,330573
scn_Latn,132954,6405173,326793
kiu_Latn,32844,6318372,411742
vol_Latn,170855,6200699,421351
ekk_Latn,379800,6196934,484625
mwl_Latn,79775,6187402,273911
tyv_Cyrl,49483,6131636,513261
kha_Latn,11994,5976633,169885
min_Latn,110990,5919304,384723
lin_Latn,73325,5556534,293612
ton_Latn,8542,5536465,205908
fij_Latn,13215,5482950,242242
pcm_Latn,151765,5080326,173058
kbd_Cyrl,20972,4972472,419366
ada_Latn,3087,4902641,233305
aka_Latn,11255,4850715,270518
mhr_Cyrl,65227,4806859,552329
iba_Latn,7616,4764895,265073
cak_Latn,107683,4714704,236841
grn_Latn,60985,4699118,358704
bcl_Latn,59316,4663734,244271
srd_Latn,90801,4649604,206499
lvs_Latn,275913,4642881,370937
sat_Olck,39081,4589459,100126
que_Latn,101014,4583934,333677
kur_Arab,65668,4385831,239494
ber_Latn,5434,4232886,237723
hyw_Armn,11584,4058758,69862
cfm_Latn,4843,4017819,177674
bew_Cyrl,146006,3814976,264252
ava_Cyrl,10653,3778450,308285
otq_Latn,5388,3752299,189452
srn_Latn,11174,3632738,191066
vls_Latn,80656,3597714,197335
sdh_Arab,26970,3537875,121799
sag_Latn,10157,3496607,147816
krc_Cyrl,28752,3493277,292898
new_Deva,49643,3472647,53333
zza_Latn,5065,3406249,260376
ven_Latn,42748,3298967,157294
hsb_Latn,73554,3293131,276591
kbp_Latn,11882,3248689,195208
xmf_Geor,66528,3219396,288052
bik_Latn,40492,3218241,151313
uzs_Arab,20581,3027681,116177
nav_Latn,73625,3007643,256204
tzo_Latn,38556,2928898,173768
run_Latn,34232,2904054,144295
ban_Latn,54630,2903739,164105
lij_Latn,32619,2844175,115636
chm_Cyrl,4495,2808704,236552
myv_Cyrl,28243,2799527,322096
kac_Latn,2538,2782952,119326
bpy_Beng,59287,2750899,139721
lfn_Latn,28494,2738494,133743
ksd_Latn,30460,2737812,87695
iso_Latn,1718,2734465,132174
diq_Latn,66560,2729295,203738
bua_Cyrl,5242,2667891,210762
wol_Latn,51207,2643779,132442
hui_Latn,34665,2574062,177166
mam_Latn,47134,2553216,132211
fon_Latn,30193,2481197,90267
mai_Deva,24060,2477821,31641
szl_Latn,74003,2476790,245764
glv_Latn,36076,2475826,126243
skr_Arab,5526,2473946,22341
rom_Latn,4048,2460982,110458
gom_Latn,44172,2417289,187209
yua_Latn,3736,2405012,130572
abk_Cyrl,144783,2352759,137055
pon_Latn,52222,2306159,117276
lub_Latn,1438,2304981,137251
kom_Cyrl,25280,2238537,242612
vep_Latn,37114,2141134,238242
tiv_Latn,1059,2120645,95037
mzn_Arab,52126,2109653,117460
pag_Latn,6129,2071130,118922
twi_Latn,18929,2056821,96415
pck_Latn,1234,2051447,94193
frr_Latn,47167,2051281,188515
hmo_Latn,30838,2020634,105936
aym_Latn,14650,1988038,164411
meu_Latn,30326,1976937,94886
alt_Cyrl,11642,1965895,165772
ady_Cyrl,11247,1947830,175717
ltg_Latn,4997,1931506,150914
syr_Syrc,681,1910806,209126
tyz_Latn,1682,1898926,106636
plt_Latn,95348,1892236,132076
ang_Latn,4269,1884229,103394
mps_Latn,8413,1829230,96658
chk_Latn,31243,1825506,100438
zap_Latn,1801,1811964,108989
bci_Latn,1279,1807535,103566
cor_Latn,8355,1802658,99169
rue_Cyrl,34428,1790194,162405
ful_Latn,31320,1718019,94544
tvl_Latn,926,1672456,63024
nzi_Latn,1356,1671824,88333
kek_Latn,30943,1671581,109586
ngu_Latn,9112,1668520,118104
bbc_Latn,1254,1661435,102919
bal_Arab,2704,1619591,23993
ium_Latn,1570,1605590,53562
som_Arab,10044,1604341,22718
kum_Cyrl,2850,1567669,122232
ace_Latn,18039,1560566,90172
tbz_Latn,29207,1551329,86007
yue_Hani,36676,1541586,66403
poh_Latn,37443,1538354,58900
avk_Latn,12082,1527802,72509
nap_Latn,36966,1504424,79411
mrj_Cyrl,8804,1449641,112773
tpi_Latn,37623,1448632,83434
bjn_Latn,33294,1438712,84009
quc_Latn,9883,1437675,70901
gym_Latn,8408,1416427,73884
tuc_Latn,24178,1413737,106960
guj_Deva,15129,1399472,34056
bgp_Latn,1691,1395454,60462
ary_Arab,26611,1388671,71208
dag_Latn,3876,1354065,69103
ssw_Latn,28133,1339965,104159
acr_Latn,37863,1332755,61718
afb_Arab,71900,1277544,69905
gom_Deva,10138,1276339,117959
zea_Latn,27112,1264210,85773
mbt_Latn,939,1258399,58666
fur_Latn,22020,1236839,55770
tum_Latn,3913,1231800,72352
ile_Latn,26188,1227255,86123
dzo_Tibt,5032,1226876,26883
ext_Latn,23979,1214253,69586
crs_Latn,862,1212531,59354
nnb_Latn,1068,1208495,85480
meo_Latn,4580,1196906,291387
nhe_Latn,1652,1175874,82570
rcf_Latn,2605,1138621,51643
eml_Latn,34265,1129792,49500
bam_Latn,21003,1128662,60649
kab_Latn,20336,1122248,50879
kos_Latn,11981,1107613,51111
stq_Latn,4233,1086041,78831
mgh_Latn,3152,1085402,77524
abt_Latn,1085,1077329,97752
inh_Cyrl,17028,1068269,74396
szy_Latn,3227,1066399,47488
quh_Latn,31239,1052094,93799
crh_Cyrl,6635,1037499,96092
